DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,Sunrise,Sunset
5,13,69,30.55,26.11,12,5.2,0,-13,52,24,1,290,26,0,0,,300,20,713,1707
5,12,74,30.65,26.15,10,2.3,0,-14.1,53,28,-5,300,12,0,0,,300,10,711,1708
13,20,75,30.69,26.23,18,0.8,0,-6.3,45,34,5,240,7,0,0,,230,7,710,1710
25,31,79,30.51,26.12,28,4.7,0,4.6,34,43,18,220,24,0,0,,220,20,709,1711
32,37,80,30.34,26.01,35,7,0,10.5,28,41,33,250,25,T,0,,240,21,708,1713
32,38,83,30.34,26,34,3.3,0,11.3,27,46,29,170,15,T,0,,170,14,707,1714
24,32,66,30.18,25.86,30,13.3,0,5.2,33,38,26,290,49,T,0,,290,39,705,1715
18,26,69,30.29,25.93,24,9.8,0,-1,39,36,15,270,26,T,0,,270,23,704,1717
12,20,76,30.48,26.05,17,3.3,0,-7.2,45,32,8,290,12,0,0,,260,10,703,1718
14,19,80,30.4,25.98,18,1.9,0,-8.4,46,34,4,290,12,0,0,,290,12,702,1719
20,27,78,30.38,25.99,24,1.5,0,-0.6,38,41,12,300,9,0,0,,290,9,700,1721
22,34,62,30.18,25.84,30,3.5,0,6.2,31,49,18,200,20,0,0,,200,13,659,1722
25,32,71,30.07,25.77,31,6.6,0,4,33,41,23,20,17,0,0,,30,15,657,1723
25,33,71,29.84,25.56,31,9.2,0,4.7,32,43,22,180,36,0,0,,190,28,656,1725
28,36,69,29.65,25.42,34,14.1,0,7.5,29,45,27,230,39,0.01,0,,240,31,655,1726
22,27,81,29.56,25.32,25,6.3,0,-1.8,38,34,19,240,33,0.14,0,,230,26,653,1727
18,19,84,29.8,25.48,21,7,0,-10.1,46,29,8,60,15,0.28,0,,60,13,652,1729
19,24,81,29.85,25.54,22,6.6,0,-5.4,41,34,13,40,25,0.02,0,,40,20,650,1730
25,29,85,29.67,25.4,28,11.2,0,-0.6,36,36,21,40,33,0.24,0,,40,26,649,1731
17,24,78,29.96,25.63,21,6.9,0,-6,41,31,17,270,20,0,0,,260,16,647,1733
18,26,74,30.01,25.68,23,2.4,0,-4.3,39,36,16,200,15,0,0,,210,12,646,1734
19,27,71,29.95,25.63,25,14.1,0,-3.6,38,33,21,250,36,0.01,0,,250,30,644,1735
16,21,73,29.98,25.64,21,8.1,0,-9.9,44,30,12,190,25,0.03,0,,200,18,642,1737
17,19,84,29.92,25.59,19,5.9,0,-12.3,46,24,13,190,21,0.05,0,,240,16,641,1738
5,14,69,29.9,25.53,11,7.3,0,-17.6,51,26,1,320,26,0,0,,320,22,639,1739
-3,-1,70,30.02,25.58,2,2.6,0,-33,66,16,-18,260,15,0,0,,260,14,638,1741
14,24,73,29.92,25.58,20,4.3,0,-8.3,41,33,15,170,20,0,0,,170,17,636,1742
24,32,70,29.96,25.66,29,16.8,0,-0.7,33,37,27,180,36,0,0,,180,29,634,1743
22,30,68,30.03,25.72,28,6.7,0,-2.8,35,40,19,180,20,0,0,,180,16,633,1744
27,32,71,29.88,25.61,32,7,0,-1,33,43,20,190,23,0.08,0,,190,18,631,1746
26,30,79,30.14,25.82,30,5.3,0,-3.4,35,39,21,210,31,0.02,0,,210,25,629,1747
24,29,79,30.28,25.92,28,2.9,0,-4.7,36,41,16,50,13,0,0,,50,12,628,1748
