DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindSpeed,Sunrise,Sunset
25,61,29,30.22,27.26,44,5.5,0,-5.3,4,78,44,24,0,0,0,18,622,1859
24,68,21,30.25,27.29,47,7.1,3,2.1,0,86,50,18,0,0,0,15,623,1857
27,72,20,30.08,27.14,50,7,7,6.5,0,90,53,18,0,0,0,15,624,1855
29,75,18,29.99,27.08,52,6.1,10,9.8,0,91,58,21,0,0,0,15,625,1854
36,70,32,30,27.08,52,6.7,5,5.2,0,86,53,25,0,0,0,20,626,1852
32,66,31,30.07,27.14,49,3.8,1,1.6,0,82,49,18,0,0,0,15,627,1850
28,71,23,30.05,27.13,49,5.2,6,7,0,86,55,16,0,0,0,13,629,1848
30,69,25,30.06,27.13,50,5.4,4,5.4,0,84,53,15,0,0,0,12,630,1846
32,67,29,30.07,27.13,49,4.7,2,3.8,0,78,56,15,0,0,0,12,631,1844
34,66,33,30.02,27.08,50,5.4,1,3.1,0,79,53,17,0,0,0,14,632,1843
37,65,36,29.95,27.02,51,5.4,0,2.5,0,79,51,24,0,0,0,17,633,1841
44,60,60,30,27.05,51,4.6,0,-2.1,5,67,52,24,0.04,0,0,18,634,1839
46,62,64,30.01,27.05,52,3.6,0,0.3,3,76,47,17,0,0,0,14,635,1837
45,70,46,29.95,27.03,55,5.6,5,9.1,0,82,57,15,0,0,0,13,638,1833
39,69,36,29.98,27.05,52,5.3,4,8.5,0,85,53,13,0,0,0,10,639,1832
38,69,34,29.94,27.03,52,5.9,4,8.9,0,82,56,26,0,0,0,20,640,1830
38,70,35,30.03,27.11,52,3.7,5,10.3,0,84,55,15,0,0,0,12,641,1828
35,68,32,30.15,27.21,51,6.8,3,8.7,0,82,54,20,0,0,0,17,642,1826
33,65,32,30.13,27.17,49,4.6,0,6.1,0,82,48,13,0,0,0,10,643,1824
33,66,31,29.93,27,49,7.3,1,7.5,0,81,51,22,0,0,0,18,645,1823
16,54,24,30.12,27.17,39,11.8,0,-4.1,11,65,43,28,0,0,0,23,646,1821
