DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,Sunrise,Sunset
25,61,29,30.22,27.26,44,5.5,0,-5.3,4,78,44,340,24,0,0,0,300,18,622,1859
24,68,21,30.25,27.29,47,7.1,3,2.1,0,86,50,140,18,0,0,0,140,15,623,1857
27,72,20,30.08,27.14,50,7,7,6.5,0,90,53,140,18,0,0,0,130,15,624,1855
29,75,18,29.99,27.08,52,6.1,10,9.8,0,91,58,300,21,0,0,0,290,15,625,1854
36,70,32,30,27.08,52,6.7,5,5.2,0,86,53,330,25,0,0,0,320,20,626,1852
32,66,31,30.07,27.14,49,3.8,1,1.6,0,82,49,330,18,0,0,0,300,15,627,1850
28,71,23,30.05,27.13,49,5.2,6,7,0,86,55,140,16,0,0,0,130,13,629,1848
30,69,25,30.06,27.13,50,5.4,4,5.4,0,84,53,330,15,0,0,0,320,12,630,1846
32,67,29,30.07,27.13,49,4.7,2,3.8,0,78,56,140,15,0,0,0,140,12,631,1844
34,66,33,30.02,27.08,50,5.4,1,3.1,0,79,53,120,17,0,0,0,120,14,632,1843
37,65,36,29.95,27.02,51,5.4,0,2.5,0,79,51,270,24,0,0,0,280,17,633,1841
44,60,60,30,27.05,51,4.6,0,-2.1,5,67,52,30,24,0.04,0,0,20,18,634,1839
46,62,64,30.01,27.05,52,3.6,0,0.3,3,76,47,300,17,0,0,0,300,14,635,1837
45,68,46,29.92,27,55,2.7,3,6.7,0,79,56,,,0,0,0,300,9,637,1835
45,70,46,29.95,27.03,55,5.6,5,9.1,0,82,57,130,15,0,0,0,140,13,638,1833
39,69,36,29.98,27.05,52,5.3,4,8.5,0,85,53,140,13,0,0,0,140,10,639,1832
38,69,34,29.94,27.03,52,5.9,4,8.9,0,82,56,330,26,0,0,0,340,20,640,1830
38,70,35,30.03,27.11,52,3.7,5,10.3,0,84,55,290,15,0,0,0,330,12,641,1828
35,68,32,30.15,27.21,51,6.8,3,8.7,0,82,54,320,20,0,0,0,310,17,642,1826
33,65,32,30.13,27.17,49,4.6,0,6.1,0,82,48,140,13,0,0,0,130,10,643,1824
33,66,31,29.93,27,49,7.3,1,7.5,0,81,51,340,22,0,0,0,340,18,645,1823
16,54,24,30.12,27.17,39,11.8,0,-4.1,11,65,43,310,28,0,0,0,320,23,646,1821
19,51,29,30.16,27.18,38,6.9,0,-6.7,14,63,38,130,20,0,0,0,300,16,647,1819
19,47,36,30.22,27.22,36,3.6,0,-10.3,18,61,32,320,16,0,0,0,300,13,648,1817
18,49,31,30.22,27.22,36,7.2,0,-7.9,16,62,35,150,20,0,0,0,130,16,649,1816
18,52,29,30.13,27.13,38,5.4,0,-4.5,13,66,37,340,14,0,0,0,330,10,650,1814
19,53,29,29.97,27,38,3.7,0,-3.1,12,68,37,330,12,0,0,0,330,9,652,1812
22,56,29,29.98,27.02,41,5.2,0,0.3,9,71,40,330,15,0,0,0,320,10,653,1810
27,60,32,29.92,26.98,44,5,0,4.7,5,74,46,140,14,0,0,0,140,12,654,1809
29,61,33,29.86,26.93,45,4.3,0,6.1,4,76,45,340,13,0,0,0,140,10,655,1807
30,63,31,29.81,26.9,46,3.5,0,8.5,2,77,48,320,14,0,0,0,330,12,656,1805
45,61,62,30.14,27.21,51,6.9,0,6.9,4,69,52,320,21,0.02,0,0,300,16,658,1804
38,64,42,30.13,27.16,51,9.1,0,10.3,1,78,50,140,24,0,0,0,140,17,659,1802
44,65,50,29.95,27.01,53,5.6,0,11.7,0,74,55,140,20,0.12,0,0,250,15,700,1800
41,55,59,29.89,26.98,50,12.8,0,2.1,10,65,45,280,46,0.47,0,0,270,36,701,1759
29,45,56,30.25,27.25,38,5.1,0,-7.5,20,56,34,310,20,0,0,0,310,16,703,1757
28,51,45,30.22,27.21,40,4.8,0,-1.1,14,65,37,140,17,0,0,0,140,14,704,1755
36,56,50,29.92,26.95,46,3.5,0,4.3,9,68,43,160,17,T,0,0,150,13,705,1754
39,54,57,29.77,26.84,47,7.5,0,2.7,11,64,44,270,25,0.03,0,0,280,22,706,1752
28,44,50,29.83,26.85,38,2.8,0,-6.9,21,57,31,280,13,0,0,0,300,10,708,1751
35,45,70,29.67,26.72,40,7.3,0,-5.4,20,52,37,270,31,0.2,0,0,280,23,709,1749
31,44,66,29.88,26.9,37,8.7,0,-6,21,50,37,130,24,0.09,0,T,130,20,710,1748
30,41,73,30.05,27.04,35,7.1,0,-8.6,24,46,35,120,23,0.05,0,0,130,17,711,1746
32,41,78,30.34,27.31,36,4.5,0,-8.2,24,49,32,20,28,0,0,0,10,22,713,1745
26,41,54,30.3,27.26,35,9.4,0,-7.8,24,50,32,130,30,0,0,0,140,22,714,1743
33,43,67,30.15,27.13,39,3.1,0,-5.4,22,52,33,300,16,T,0,0,300,14,715,1742
45,52,88,30.06,27.08,47,2.5,0,4,13,61,43,340,10,0.03,0,0,350,9,717,1740
44,57,74,30.07,27.1,49,4.4,0,9.4,8,70,44,330,17,T,0,0,330,14,718,1739
39,60,50,30.01,27.05,49,6.9,0,12.9,5,73,47,130,18,0,0,0,120,15,719,1737
38,62,48,29.85,26.91,48,6.8,0,15.3,3,74,49,290,24,0,0,0,140,16,720,1736
39,55,56,29.94,27.01,47,6.3,0,8.7,10,64,46,320,24,0.04,0,0,350,17,722,1735
35,51,58,30.1,27.11,43,4.9,0,5.1,14,62,39,130,15,0,0,0,130,13,723,1733
35,54,55,30.17,27.19,44,2.4,0,8.6,11,65,42,130,16,0,0,0,140,13,724,1732
39,53,64,30.34,27.35,45,2.6,0,8,12,65,41,310,13,0,0,0,310,10,726,1731
40,55,64,30.34,27.34,47,3.6,0,10.4,10,67,42,140,13,0,0,0,330,10,727,1730
41,59,61,30.14,27.15,48,6,0,14.9,6,74,43,130,16,0,0,0,120,13,728,1728
38,54,59,29.93,26.97,45,6.2,0,10.3,11,64,43,290,17,0,0,0,280,14,730,1727
32,43,68,29.67,26.7,38,5,0,-0.3,22,51,34,310,23,0,0,0,320,17,731,1726
